Functional group,Species,"Non-breeding 
strategy",Range selected,Selection criteria
Mosses,"Polytrichum spp.,
Meesia triquetra",Resident,-,-
Forbs,"Luzula spp.,
Saxifraga spp.,
Oxytropis maydelliana,
Polygonum viviparum",Resident,-,-
Shrubs,"Salix spp.,
Cassiope tetragona,
Dryas integrifolia,
Vaccinium uliginosum",Resident,-,-
Sedges and Grasses,"Eriophorum scheuchzeri,
 Carex aquatilis,
Dupontia fisheri",Resident,-,-
Arthropods,"Chironomidae,
Muscidae,
Aranea,
Lepidoptera,
Ichneumonidae,
Carabidae",Resident,-,-
Lemmings,"Collared Lemming
(Dicrostonyx groenlandicus)",Resident,-,-
Lemmings,"Brown Lemming
(Lemmus trimucronatus)",Resident,-,-
Hares,"Arctic Hare
(Lepus arcticus)",Resident,-,-
Ptarmigans,"Rock ptarmigan
(Lagopus muta)",Resident,-,-
Geese and Swans,"Snow Goose
(Anser caerulescens)",Migrant,Tracking,"Legagneux et al., unpublished data"
Geese and Swans,"Cackling Goose
(Branta hutchinsii)",Migrant,eBird-Birdlife,Visual inspection of the overlap with the Ebird relative abundance map
Geese and Swans,"Tundra Swan
(Cygnus columbianus)",Migrant,Birdlife,Visual inspection of the overlap with the Ebird relative abundance map
Passerines,"Lapland Longspur
(Calcarius lapponicus)",Migrant,eBird-Birdlife,Visual inspection of the overlap with the Ebird relative abundance map
Passerines,"Horned Lark
(Eremophila alpestris)",Migrant,eBird,Visual inspection of the overlap with the Ebird relative abundance map
Passerines,"Snow Bunting
(Plectrophenax nivalis)",Migrant,eBird-Birdlife,Visual inspection of the overlap with the Ebird relative abundance map
Passerines,"American Pipit
(Anthus rubescens)",Migrant,eBird-Birdlife,Visual inspection of the overlap with the Ebird relative abundance map
Shorebirds,"American Golden-Plover
(Pluvialis dominica)",Migrant,Tracking,"Lamarre, J. F., Gauthier, G., Lanctot, R. B., Saalfeld, S. T., Love, O. P., Reed, E., et al., (2021). Timing of Breeding Site Availability Across the North American Arctic Partly Determines Spring Migration Schedule in a Long-Distance Neotropical Migrant. Front. Ecol. Evol. 9, 710007. https://doi.org/10.3389/fevo.2021.710007"
Shorebirds,"Black-bellied Plover
(Pluvialis squatarola)",Migrant,eBird,Ebird range falls inside the boundary of the Birdlife range
