"","ecoregion","province","realm","eco_type"
"1","Sinaloan dry forests","Neotropical Tropical and Subtropical Dry Broadleaf Forests","Neotropical","terrestrial"
"2","Everglades","Neotropical Flooded Grasslands and Savannas","Neotropical","terrestrial"
"3","Bahamian pine mosaic","Neotropical Tropical and Subtropical Coniferous Forests","Neotropical","terrestrial"
"4","South Florida rocklands","Neotropical Tropical and Subtropical Moist Broadleaf Forests","Neotropical","terrestrial"
"5","San Lucan xeric scrub","Neotropical Deserts and Xeric Shrublands","Neotropical","terrestrial"
"6","Veracruz moist forests","Neotropical Tropical and Subtropical Moist Broadleaf Forests","Neotropical","terrestrial"
"7","Sierra de la Laguna dry forests","Neotropical Tropical and Subtropical Dry Broadleaf Forests","Neotropical","terrestrial"
"8","Belizian pine forests","Neotropical Tropical and Subtropical Coniferous Forests","Neotropical","terrestrial"
"9","Petén-Veracruz moist forests","Neotropical Tropical and Subtropical Moist Broadleaf Forests","Neotropical","terrestrial"
"10","Leeward Islands moist forests","Neotropical Tropical and Subtropical Moist Broadleaf Forests","Neotropical","terrestrial"
"11","Chiapas montane forests","Neotropical Tropical and Subtropical Moist Broadleaf Forests","Neotropical","terrestrial"
"12","Sierra Madre de Oaxaca pine-oak forests","Neotropical Tropical and Subtropical Coniferous Forests","Neotropical","terrestrial"
"13","Sierra Madre del Sur pine-oak forests","Neotropical Tropical and Subtropical Coniferous Forests","Neotropical","terrestrial"
"14","Windward Islands moist forests","Neotropical Tropical and Subtropical Moist Broadleaf Forests","Neotropical","terrestrial"
"15","Central American montane forests","Neotropical Tropical and Subtropical Moist Broadleaf Forests","Neotropical","terrestrial"
"16","Caribbean shrublands","Neotropical Deserts and Xeric Shrublands","Neotropical","terrestrial"
"17","Lesser Antillean dry forests","Neotropical Tropical and Subtropical Dry Broadleaf Forests","Neotropical","terrestrial"
"18","Central American pine-oak forests","Neotropical Tropical and Subtropical Coniferous Forests","Neotropical","terrestrial"
"19","Araya and Paria xeric scrub","Neotropical Deserts and Xeric Shrublands","Neotropical","terrestrial"
"20","Guajira-Barranquilla xeric scrub","Neotropical Deserts and Xeric Shrublands","Neotropical","terrestrial"
"21","Trinidad and Tobago moist forests","Neotropical Tropical and Subtropical Moist Broadleaf Forests","Neotropical","terrestrial"
"22","Sinú Valley dry forests","Neotropical Tropical and Subtropical Dry Broadleaf Forests","Neotropical","terrestrial"
"23","Costa Rican seasonal moist forests","Neotropical Tropical and Subtropical Moist Broadleaf Forests","Neotropical","terrestrial"
"24","Santa Marta montane forests","Neotropical Tropical and Subtropical Moist Broadleaf Forests","Neotropical","terrestrial"
"25","Llanos","Neotropical Tropical and Subtropical Grasslands, Savannas and Shrublands","Neotropical","terrestrial"
"26","Northern Andean páramo","Neotropical Montane Grasslands and Shrublands","Neotropical","terrestrial"
"27","Guianan Highlands moist forests","Neotropical Tropical and Subtropical Moist Broadleaf Forests","Neotropical","terrestrial"
"28","Pantepui","Neotropical Tropical and Subtropical Moist Broadleaf Forests","Neotropical","terrestrial"
"29","Guianan savanna","Neotropical Tropical and Subtropical Grasslands, Savannas and Shrublands","Neotropical","terrestrial"
"30","Rio Negro campinarana","Neotropical Tropical and Subtropical Moist Broadleaf Forests","Neotropical","terrestrial"
"31","Apure-Villavicencio dry forests","Neotropical Tropical and Subtropical Dry Broadleaf Forests","Neotropical","terrestrial"
"32","Trans-Mexican Volcanic Belt pine-oak forests","Neotropical Tropical and Subtropical Coniferous Forests","Neotropical","terrestrial"
"33","Cuban cactus scrub","Neotropical Deserts and Xeric Shrublands","Neotropical","terrestrial"
"34","Cuban moist forests","Neotropical Tropical and Subtropical Moist Broadleaf Forests","Neotropical","terrestrial"
"35","Cuban wetlands","Neotropical Flooded Grasslands and Savannas","Neotropical","terrestrial"
"36","Cuban dry forests","Neotropical Tropical and Subtropical Dry Broadleaf Forests","Neotropical","terrestrial"
"37","Oaxacan montane forests","Neotropical Tropical and Subtropical Moist Broadleaf Forests","Neotropical","terrestrial"
