"","ecoregion","eco_type","module"
"1","Coastal Baffin Bay - Davis Strait","coastal","1"
"2","Coastal High Arctic Archipelago","coastal","1"
"3","Coastal Lancaster Sound","coastal","1"
"4","Baffin Bay - Davis Strait","marine","1"
"5","High Arctic Archipelago","marine","1"
"6","Lancaster Sound","marine","1"
"7","Baffin coastal tundra","terrestrial","1"
"8","Davis Highlands tundra","terrestrial","1"
"9","High Arctic tundra","terrestrial","1"
"10","Rock and Ice","terrestrial","1"
"11","Coastal Carolinian","coastal","2"
"12","Coastal Gulf of Alaska","coastal","2"
"13","Coastal Gulf of Maine/Bay of Fundy","coastal","2"
"14","Coastal Gulf of St. Lawrence - Eastern Scotian Shelf","coastal","2"
"15","Coastal Hudson Complex","coastal","2"
"16","Coastal Northern Grand Banks - Southern Labrador","coastal","2"
"17","Coastal Oregon, Washington, Vancouver Coast and Shelf","coastal","2"
"18","Coastal Puget Trough/Georgia Basin","coastal","2"
"19","Coastal Scotian Shelf","coastal","2"
"20","Coastal Southern Grand Banks - South Newfoundland","coastal","2"
"21","Coastal Southern Gulf of Mexico","coastal","2"
"22","Coastal Virginian","coastal","2"
"23","Mesoamerican Gulf-Caribbean mangroves","coastal","2"
"24","Bahamian","marine","2"
"25","Carolinian","marine","2"
"26","Floridian","marine","2"
"27","Gulf of Maine/Bay of Fundy","marine","2"
"28","Gulf of St. Lawrence - Eastern Scotian Shelf","marine","2"
"29","Hudson Complex","marine","2"
"30","North Greenland","marine","2"
"31","Northern Grand Banks - Southern Labrador","marine","2"
"32","Scotian Shelf","marine","2"
"33","Southern Grand Banks - South Newfoundland","marine","2"
"34","Virginian","marine","2"
"35","Alaska-St. Elias Range tundra","terrestrial","2"
"36","Alberta Mountain forests","terrestrial","2"
"37","Alberta-British Columbia foothills forests","terrestrial","2"
"38","Allegheny Highlands forests","terrestrial","2"
"39","Appalachian mixed mesophytic forests","terrestrial","2"
"40","Appalachian-Blue Ridge forests","terrestrial","2"
"41","Arizona Mountains forests","terrestrial","2"
"42","Atlantic coastal pine barrens","terrestrial","2"
"43","Bajío dry forests","terrestrial","2"
"44","Balsas dry forests","terrestrial","2"
"45","Blue Mountains forests","terrestrial","2"
"46","British Columbia mainland coastal forests","terrestrial","2"
"47","Canadian Aspen forests and parklands","terrestrial","2"
"48","Cascade Mountains leeward forests","terrestrial","2"
"49","Central and Southern Cascades forests","terrestrial","2"
"50","Central and Southern mixed grasslands","terrestrial","2"
"51","Central British Columbia Mountain forests","terrestrial","2"
"52","Central Canadian Shield forests","terrestrial","2"
"53","Central forest-grasslands transition","terrestrial","2"
"54","Central Mexican matorral","terrestrial","2"
"55","Central Pacific coastal forests","terrestrial","2"
"56","Central tall grasslands","terrestrial","2"
"57","Central U.S. hardwood forests","terrestrial","2"
"58","Chihuahuan desert","terrestrial","2"
"59","Colorado Plateau shrublands","terrestrial","2"
"60","Colorado Rockies forests","terrestrial","2"
"61","East Central Texas forests","terrestrial","2"
"62","Eastern Canadian forests","terrestrial","2"
"63","Eastern Canadian Shield taiga","terrestrial","2"
"64","Eastern Cascades forests","terrestrial","2"
"65","Eastern forest-boreal transition","terrestrial","2"
"66","Eastern Great Lakes lowland forests","terrestrial","2"
"67","Edwards Plateau savanna","terrestrial","2"
"68","English - Winnipeg Lakes","terrestrial","2"
"69","Everglades","terrestrial","2"
"70","Flint Hills tall grasslands","terrestrial","2"
"71","Florida sand pine scrub","terrestrial","2"
"72","Fraser Plateau and Basin complex","terrestrial","2"
"73","Great Basin montane forests","terrestrial","2"
"74","Great Basin shrub steppe","terrestrial","2"
"75","Gulf of St. Lawrence lowland forests","terrestrial","2"
"76","Lake","terrestrial","2"
"77","Laurentian Great Lakes","terrestrial","2"
"78","Low Arctic tundra","terrestrial","2"
"79","Meseta Central matorral","terrestrial","2"
"80","Mid-Continental Canadian forests","terrestrial","2"
"81","Middle Arctic tundra","terrestrial","2"
"82","Middle Atlantic coastal forests","terrestrial","2"
"83","Midwestern Canadian Shield forests","terrestrial","2"
"84","Mississippi lowland forests","terrestrial","2"
"85","Mojave desert","terrestrial","2"
"86","Montana Valley and Foothill grasslands","terrestrial","2"
"87","Muskwa-Slave Lake forests","terrestrial","2"
"88","Nebraska Sand Hills mixed grasslands","terrestrial","2"
