"","node_name","module_level1","type"
"1","American Pipit",1,"species"
"2","Arctic Fox",1,"species"
"3","Cackling Goose",1,"species"
"4","Common Raven",1,"species"
"5","Glaucous Gull",1,"species"
"6","Horned Lark",1,"species"
"7","Lapland Longspur",1,"species"
"8","Long-tailed Duck",1,"species"
"9","Red-throated Loon",1,"species"
"10","Rough-legged Hawk",1,"species"
"11","Sandhill Crane",1,"species"
"12","Snow Bunting",1,"species"
"13","Snow Goose",1,"species"
"14","Snowy Owl",1,"species"
"15","Tundra Swan",1,"species"
"16","Peregrine Falcon",2,"species"
"17","Black-bellied Plover",3,"species"
"18","Parasitic Jaeger",3,"species"
"19","Red Knot",3,"species"
"20","Ruddy Turnstone",3,"species"
"21","American Golden-Plover",4,"species"
"22","Bairds Sandpiper",4,"species"
"23","Buff-breasted Sandpiper",4,"species"
"24","Pectoral Sandpiper",4,"species"
"25","White-rumped Sandpiper",4,"species"
"26","Long-tailed Jaeger",5,"species"
"27","Red Phalarope",5,"species"
"28","King Eider",6,"species"
"29","Common-ringed Plover",7,"species"
"30","Pacific Loon",8,"species"
"31","Alaska-St. Elias Range tundra",1,"ecoregions"
"32","Alberta Mountain forests",1,"ecoregions"
"33","Alberta-British Columbia foothills forests",1,"ecoregions"
"34","Allegheny Highlands forests",1,"ecoregions"
"35","Appalachian mixed mesophytic forests",1,"ecoregions"
"36","Appalachian-Blue Ridge forests",1,"ecoregions"
"37","Arizona Mountains forests",1,"ecoregions"
"38","Atlantic coastal pine barrens",1,"ecoregions"
"39","Baffin Bay - Davis Strait",1,"ecoregions"
"40","Baffin coastal tundra",1,"ecoregions"
"41","Bahamian",1,"ecoregions"
"42","Bajío dry forests",1,"ecoregions"
"43","Balsas dry forests",1,"ecoregions"
"44","Blue Mountains forests",1,"ecoregions"
"45","British Columbia mainland coastal forests",1,"ecoregions"
"46","Canadian Aspen forests and parklands",1,"ecoregions"
"47","Carolinian",1,"ecoregions"
"48","Cascade Mountains leeward forests",1,"ecoregions"
"49","Central and Southern Cascades forests",1,"ecoregions"
"50","Central and Southern mixed grasslands",1,"ecoregions"
"51","Central British Columbia Mountain forests",1,"ecoregions"
"52","Central Canadian Shield forests",1,"ecoregions"
"53","Central forest-grasslands transition",1,"ecoregions"
"54","Central Mexican matorral",1,"ecoregions"
"55","Central Pacific coastal forests",1,"ecoregions"
"56","Central tall grasslands",1,"ecoregions"
"57","Central U.S. hardwood forests",1,"ecoregions"
"58","Chihuahuan desert",1,"ecoregions"
"59","Coastal Baffin Bay - Davis Strait",1,"ecoregions"
"60","Coastal Carolinian",1,"ecoregions"
"61","Coastal Gulf of Alaska",1,"ecoregions"
"62","Coastal Gulf of Maine/Bay of Fundy",1,"ecoregions"
"63","Coastal Gulf of St. Lawrence - Eastern Scotian Shelf",1,"ecoregions"
"64","Coastal High Arctic Archipelago",1,"ecoregions"
"65","Coastal Hudson Complex",1,"ecoregions"
"66","Coastal Lancaster Sound",1,"ecoregions"
"67","Coastal Northern Grand Banks - Southern Labrador",1,"ecoregions"
"68","Coastal Northern Labrador",1,"ecoregions"
"69","Coastal Oregon, Washington, Vancouver Coast and Shelf",1,"ecoregions"
"70","Coastal Puget Trough/Georgia Basin",1,"ecoregions"
"71","Coastal Scotian Shelf",1,"ecoregions"
"72","Coastal Southern Grand Banks - South Newfoundland",1,"ecoregions"
"73","Coastal Southern Gulf of Mexico",1,"ecoregions"
"74","Coastal Virginian",1,"ecoregions"
"75","Colorado Plateau shrublands",1,"ecoregions"
"76","Colorado Rockies forests",1,"ecoregions"
"77","Davis Highlands tundra",1,"ecoregions"
"78","East Central Texas forests",1,"ecoregions"
"79","Eastern Canadian forests",1,"ecoregions"
"80","Eastern Canadian Shield taiga",1,"ecoregions"
"81","Eastern Cascades forests",1,"ecoregions"
"82","Eastern forest-boreal transition",1,"ecoregions"
"83","Eastern Great Lakes lowland forests",1,"ecoregions"
"84","Edwards Plateau savanna",1,"ecoregions"
"85","English - Winnipeg Lakes",1,"ecoregions"
"86","Everglades",1,"ecoregions"
"87","Flint Hills tall grasslands",1,"ecoregions"
"88","Florida sand pine scrub",1,"ecoregions"
"89","Floridian",1,"ecoregions"
"90","Fraser Plateau and Basin complex",1,"ecoregions"
"91","Great Basin montane forests",1,"ecoregions"
"92","Great Basin shrub steppe",1,"ecoregions"
"93","Gulf of Maine/Bay of Fundy",1,"ecoregions"
"94","Gulf of St. Lawrence - Eastern Scotian Shelf",1,"ecoregions"
"95","Gulf of St. Lawrence lowland forests",1,"ecoregions"
"96","High Arctic Archipelago",1,"ecoregions"
"97","High Arctic tundra",1,"ecoregions"
"98","Hudson Complex",1,"ecoregions"
"99","Lake",1,"ecoregions"
"100","Lancaster Sound",1,"ecoregions"
"101","Laurentian Great Lakes",1,"ecoregions"
"102","Low Arctic tundra",1,"ecoregions"
"103","Meseta Central matorral",1,"ecoregions"
"104","Mesoamerican Gulf-Caribbean mangroves",1,"ecoregions"
"105","Mid-Continental Canadian forests",1,"ecoregions"
"106","Middle Arctic tundra",1,"ecoregions"
"107","Middle Atlantic coastal forests",1,"ecoregions"
"108","Midwestern Canadian Shield forests",1,"ecoregions"
"109","Mississippi lowland forests",1,"ecoregions"
"110","Mojave desert",1,"ecoregions"
"111","Montana Valley and Foothill grasslands",1,"ecoregions"
"112","Muskwa-Slave Lake forests",1,"ecoregions"
"113","Nebraska Sand Hills mixed grasslands",1,"ecoregions"
"114","New England-Acadian forests",1,"ecoregions"
"115","Newfoundland Highland forests",1,"ecoregions"
"116","North Central Rockies forests",1,"ecoregions"
"117","North Greenland",1,"ecoregions"
"118","Northeastern coastal forests",1,"ecoregions"
"119","Northern Canadian Shield taiga",1,"ecoregions"
"120","Northern Cordillera forests",1,"ecoregions"
"121","Northern Grand Banks - Southern Labrador",1,"ecoregions"
"122","Northern Labrador",1,"ecoregions"
"123","Northern mixed grasslands",1,"ecoregions"
"124","Northern Pacific coastal forests",1,"ecoregions"
"125","Northern short grasslands",1,"ecoregions"
"126","Northern tall grasslands",1,"ecoregions"
"127","Northern transitional alpine forests",1,"ecoregions"
"128","Okanagan dry forests",1,"ecoregions"
"129","Ozark Mountain forests",1,"ecoregions"
"130","Pacific Coastal Mountain icefields and tundra",1,"ecoregions"
"131","Palouse grasslands",1,"ecoregions"
"132","Piney Woods forests",1,"ecoregions"
"133","Puget lowland forests",1,"ecoregions"
"134","Rock and Ice",1,"ecoregions"
"135","Scotian Shelf",1,"ecoregions"
"136","Sierra Madre de Oaxaca pine-oak forests",1,"ecoregions"
"137","Sierra Madre del Sur pine-oak forests",1,"ecoregions"
"138","Sierra Madre Occidental pine-oak forests",1,"ecoregions"
"139","Sierra Madre Oriental pine-oak forests",1,"ecoregions"
"140","Snake-Columbia shrub steppe",1,"ecoregions"
"141","Sonoran desert",1,"ecoregions"
"142","Sonoran-Sinaloan transition subtropical dry forest",1,"ecoregions"
"143","South Avalon-Burin oceanic barrens",1,"ecoregions"
"144","South Central Rockies forests",1,"ecoregions"
"145","South Florida rocklands",1,"ecoregions"
"146","Southeastern conifer forests",1,"ecoregions"
"147","Southeastern mixed forests",1,"ecoregions"
"148","Southern Grand Banks - South Newfoundland",1,"ecoregions"
"149","Southern Great Lakes forests",1,"ecoregions"
"150","Southern Hudson Bay",1,"ecoregions"
"151","Southern Hudson Bay taiga",1,"ecoregions"
"152","St.Lawrence",1,"ecoregions"
"153","Tamaulipan matorral",1,"ecoregions"
"154","Tamaulipan mezquital",1,"ecoregions"
"155","Tehuacán Valley matorral",1,"ecoregions"
"156","Texas blackland prairies",1,"ecoregions"
"157","Torngat Mountain tundra",1,"ecoregions"
"158","Trans-Mexican Volcanic Belt pine-oak forests",1,"ecoregions"
"159","Upper Midwest forest-savanna transition",1,"ecoregions"
"160","Veracruz moist forests",1,"ecoregions"
"161","Virginian",1,"ecoregions"
"162","Wasatch and Uinta montane forests",1,"ecoregions"
"163","Western Great Lakes forests",1,"ecoregions"
"164","Western Gulf coastal grasslands",1,"ecoregions"
"165","Western short grasslands",1,"ecoregions"
"166","Willamette Valley forests",1,"ecoregions"
"167","Wyoming Basin shrub steppe",1,"ecoregions"
"168","Yukon Interior dry forests",1,"ecoregions"
"169","Apure-Villavicencio dry forests",2,"ecoregions"
"170","Araya and Paria xeric scrub",2,"ecoregions"
"171","Atlantic dry forests",2,"ecoregions"
"172","Bahamian pine mosaic",2,"ecoregions"
"173","Bahia interior forests",2,"ecoregions"
"174","Baja California desert",2,"ecoregions"
"175","Belizian pine forests",2,"ecoregions"
"176","California Central Valley grasslands",2,"ecoregions"
"177","California coastal sage and chaparral",2,"ecoregions"
"178","California interior chaparral and woodlands",2,"ecoregions"
"179","California montane chaparral and woodlands",2,"ecoregions"
"180","Campos Rupestres montane savanna",2,"ecoregions"
"181","Catatumbo moist forests",2,"ecoregions"
"182","Cauca Valley dry forests",2,"ecoregions"
"183","Cauca Valley montane forests",2,"ecoregions"
"184","Central American Atlantic moist forests",2,"ecoregions"
"185","Central American dry forests",2,"ecoregions"
"186","Central American montane forests",2,"ecoregions"
"187","Central American pine-oak forests",2,"ecoregions"
"188","Chiapas Depression dry forests",2,"ecoregions"
"189","Chiapas montane forests",2,"ecoregions"
"190","Chimalapas montane forests",2,"ecoregions"
"191","Chocó-Darién moist forests",2,"ecoregions"
"192","Coastal Araucanian",2,"ecoregions"
"193","Coastal Central Chile",2,"ecoregions"
"194","Coastal Central Peru",2,"ecoregions"
"195","Coastal Chiapas-Nicaragua",2,"ecoregions"
"196","Coastal Chiloense",2,"ecoregions"
"197","Coastal Cortezian",2,"ecoregions"
"198","Coastal Guayaquil",2,"ecoregions"
"199","Coastal Humboldtian",2,"ecoregions"
"200","Coastal Magdalena Transition",2,"ecoregions"
"201","Coastal Mexican Tropical Pacific",2,"ecoregions"
"202","Coastal Nicoya",2,"ecoregions"
"203","Coastal North American Pacific Fijordland",2,"ecoregions"
"204","Coastal Northern California",2,"ecoregions"
"205","Coastal Panama Bight",2,"ecoregions"
"206","Coastal Southern California Bight",2,"ecoregions"
"207","Coastal Southwestern Caribbean",2,"ecoregions"
"208","Coastal Western Caribbean",2,"ecoregions"
